Faecalibacterium prausnitzii 14
Veillonella rogosae 14
Roseburia hominis 14
Bacteroides fragilis 14
Prevotella corporis 6
Bifidobacterium adolescentis 6
Fusobacterium nucleatum 6
Lactobacillus fermentum 6
Clostridioides difficile 1.5
Akkermansia muciniphila 1.5
Methanobrevibacter smithii 0.1
Salmonella enterica 0.01
Enterococcus faecalis 0.001
Clostridium perfringens 0.0001
Escherichia coli(JM109) 2.8
Escherichia coli(B-3008) 2.8
Escherichia coli(B-2207) 2.8
Escherichia coli(B-766) 2.8
Escherichia coli(B-1109) 2.8
Candida albicans 1.5
Saccharomyces cerevisiae 1.4
